Image,Prediction,Probability,Probability Percentage
48.jpg,Welsh_springer_spaniel,0.037468433,3.75
48.jpg,Sussex_spaniel,0.021113051,2.11
49.jpg,collie,0.655819118,65.58
49.jpg,Shetland_sheepdog,0.113749601,11.37
49.jpg,chow,0.019973408,2
50.jpg,English_foxhound,0.289556473,28.96
50.jpg,beagle,0.129629135,12.96
50.jpg,Walker_hound,0.088172719,8.82
51.jpg,bloodhound,0.787566721,78.76
51.jpg,basset,0.084334038,8.43
51.jpg,black-and-tan_coonhound,0.009510962,0.95
52.jpg,Border_collie,0.843875885,84.39
52.jpg,collie,0.073260203,7.33
52.jpg,English_springer,0.029902432,2.99
53.jpg,Chesapeake_Bay_retriever,0.689729273,68.97
53.jpg,vizsla,0.065224238,6.52
53.jpg,bloodhound,0.042469285,4.25
54.jpg,hog,0.099211484,9.92
54.jpg,French_bulldog,0.093935929,9.39
54.jpg,American_black_bear,0.056338899,5.63
55.jpg,vizsla,0.519178391,51.92
55.jpg,American_Staffordshire_terrier,0.151970714,15.2
55.jpg,miniature_pinscher,0.042152867,4.22
56.jpg,toy_terrier,0.713138998,71.31
56.jpg,Chihuahua,0.222281978,22.23
56.jpg,Italian_greyhound,0.006493457,0.65
57.jpg,English_setter,0.986784637,98.68
57.jpg,clumber,0.001089483,0.11
57.jpg,cocker_spaniel,0.000459116,0.05
58.jpg,beagle,0.550295949,55.03
58.jpg,black-and-tan_coonhound,0.097152494,9.72
58.jpg,Walker_hound,0.078175567,7.82
59.jpg,Rhodesian_ridgeback,0.586181223,58.62
59.jpg,redbone,0.34169966,34.17
59.jpg,vizsla,0.024720207,2.47
60.jpg,basenji,0.083172187,8.32
60.jpg,English_foxhound,0.073717259,7.37
60.jpg,American_Staffordshire_terrier,0.06596607,6.6
61.jpg,American_Staffordshire_terrier,0.931091607,93.11
61.jpg,Staffordshire_bullterrier,0.024593756,2.46
61.jpg,bull_mastiff,0.01246345,1.25
62.jpg,Labrador_retriever,0.950859725,95.09
62.jpg,golden_retriever,0.016882589,1.69
62.jpg,flat-coated_retriever,0.008420618,0.84
63.jpg,basset,0.263878196,26.39
63.jpg,bloodhound,0.043251116,4.33
63.jpg,Great_Dane,0.041339852,4.13
64.jpg,Labrador_retriever,0.958994627,95.9
64.jpg,flat-coated_retriever,0.006192194,0.62
64.jpg,German_short-haired_pointer,0.005059728,0.51
65.jpg,Leonberg,0.669549584,66.95
65.jpg,German_shepherd,0.062318247,6.23
65.jpg,Norwegian_elkhound,0.043854706,4.39
